RPCMethods
GetRPCMethods
GetParameterNames
GetParameterValues
SetParameterValues
GetParameterAttributes
SetParameterAttributes
AddObject
DeleteObject
Download
Upload
Reboot
FactoryReset
GetQueuedTransfers
ScheduleInform
GetAllQueuedTransfers
ScheduleDownload
CancelTransfer
